route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
ABQ-AUS,4,1209,1346.0,178.6368578951845,0,0,0,4,0,0,0.5359389400399522,613.0,0,0,0,unexposed_legacy,True,False,False
ABQ-BDL,4,516,704.0,207.10633338047325,4,4,4,4,801,297,0.01951570645620354,1884.0,36,9,0,overlap,True,False,False
ABQ-CMH,4,605,736.5,180.1424455347444,4,3,3,4,769,203,0.07212383829356653,1342.0,79,0,0,overlap,True,False,False
ABQ-DEN,4,3264,4117.5,145.9151741007507,0,0,0,4,0,0,0.9978561030274421,340.0,0,0,0,unexposed_legacy,True,False,False
ABQ-ICT,4,105,118.75,237.66126364459515,0,0,0,4,0,0,0.03726253799392097,542.0,0,0,0,unexposed_legacy,True,False,False
ABQ-IND,4,527,813.75,170.36929648094963,4,4,4,4,434,344,0.016470800380880488,1160.0,0,0,0,overlap,True,False,False
ABQ-JFK,4,223,277.0,205.95607580167368,4,3,3,4,304,94,0.0,1824.0,0,0,0,overlap,True,False,False
ABQ-OKC,4,337,451.0,177.5842117813222,0,0,0,4,0,0,0.010007147368770985,509.0,0,0,0,unexposed_legacy,True,False,False
ABQ-PHX,4,10735,10957.75,92.86921786991022,0,0,0,4,0,0,0.9972159527673439,329.0,0,0,0,unexposed_legacy,True,False,False
ABQ-TUL,4,353,434.0,178.7273097144249,0,0,0,4,0,0,0.16230342376676174,608.0,0,0,0,unexposed_legacy,True,False,False
ACV-SMF,4,185,218.0,104.99930520239974,0,0,0,4,0,0,0.9521020843121011,207.0,0,0,0,unexposed_legacy,True,False,False
ADQ-ANC,4,218,512.25,177.27012697525285,0,0,0,4,0,0,0.9995265151515151,252.0,0,0,0,unexposed_legacy,True,False,False
ADQ-SEA,4,127,177.25,442.70700096256417,0,0,0,4,0,0,0.0,1437.0,0,0,0,unexposed_legacy,True,False,False
ANC-ATL,4,326,669.0,403.1607735231876,4,4,4,4,1770,333,0.17888228070990572,3414.0,709,0,0,overlap,True,False,False
ANC-BET,4,1364,1448.0,208.73833497191023,0,0,0,4,0,0,0.9990835777126099,398.0,0,0,0,unexposed_legacy,True,False,False
ANC-BOS,4,213,499.5,340.25607550639353,3,4,3,4,314,470,0.025822374054601277,3378.0,2,52,0,overlap,True,False,False
ANC-BRW,4,547,616.5,318.5083456160761,0,0,0,4,0,0,0.914194811136764,724.0,0,0,0,unexposed_legacy,True,False,False
ANC-BWI,4,112,259.75,427.0711287896921,3,4,3,4,133,368,0.06261212077797428,3365.0,0,59,0,overlap,True,False,False
ANC-CDV,4,133,180.75,150.55299591920632,0,0,0,4,0,0,1.0,159.0,0,0,0,unexposed_legacy,True,False,False
ANC-FAI,4,4299,4691.75,145.32321175401168,0,0,0,4,0,0,1.0,261.0,0,0,0,unexposed_legacy,True,False,False
ANC-JNU,4,1841,2142.0,186.27211365369658,0,0,0,4,0,0,0.9905787304405703,569.0,0,0,0,unexposed_legacy,True,False,False
ANC-KTN,4,414,438.25,275.7554310711203,0,0,0,4,0,0,0.9094298244158658,775.0,0,0,0,unexposed_legacy,True,False,False
ANC-MCO,4,434,516.5,344.2172714184622,4,4,4,4,197,299,0.03502826062216635,3816.0,44,12,0,overlap,True,False,False
ANC-OME,4,620,664.0,251.16115890525813,0,0,0,4,0,0,0.9962301690882297,538.0,0,0,0,unexposed_legacy,True,False,False
ANC-OTZ,4,611,661.5,262.0249090014029,0,0,0,4,0,0,0.985971420796356,548.0,0,0,0,unexposed_legacy,True,False,False
ANC-PHL,4,148,421.75,335.6876516796891,4,4,4,4,575,454,0.041752424446255404,3375.0,24,15,0,overlap,True,False,False
ANC-SCC,4,814,1607.75,334.8836890752814,0,0,0,4,0,0,0.9896350829316678,626.0,0,0,0,unexposed_legacy,True,False,False
ANC-SIT,4,278,341.75,222.03144971186623,0,0,0,4,0,0,0.8264346918238434,591.0,0,0,0,unexposed_legacy,True,False,False
ATL-BZN,4,227,315.5,325.9798537843925,4,4,4,0,811,339,0.19796143632510116,1640.0,253,0,0,overlap,True,False,False
ATL-DTW,4,9326,10865.5,152.96482788926866,4,4,4,0,11220,19177,0.9659401632296659,596.0,11022,18867,0,overlap,True,True,False
ATL-GEG,4,403,476.75,303.80395755574267,3,4,3,4,570,249,0.015682587886030993,1968.0,0,5,0,overlap,True,False,False
ATL-MEM,4,5665,6016.75,145.17029074383464,4,4,4,0,6894,4046,0.9908839091526597,332.0,6826,4027,0,overlap,True,True,True
ATL-MSP,4,8691,10069.5,160.95750503509612,4,4,4,0,8843,16290,0.9494988411538304,908.0,8598,15838,0,overlap,True,True,False
AUS-DFW,4,2505,2659.25,107.33712066378239,0,0,0,4,0,0,0.985033417681274,184.0,0,0,0,unexposed_legacy,True,False,False
AUS-IAH,4,1557,1632.5,104.09692236093008,0,0,0,4,0,0,1.0,143.0,0,0,0,unexposed_legacy,True,False,False
AUS-MFE,4,172,222.5,145.5044230920103,0,0,0,4,0,0,0.0,287.0,0,0,0,unexposed_legacy,True,False,False
AUS-OKC,4,867,1002.75,134.18626634361746,0,0,0,4,0,0,0.2729751344135395,353.0,0,0,0,unexposed_legacy,True,False,False
AUS-PSP,4,134,191.5,206.63804858501743,0,0,0,4,0,0,0.0,1128.0,0,0,0,unexposed_legacy,True,False,False
AUS-TUS,4,250,383.75,179.8426434266753,0,0,0,4,0,0,0.00806251966394411,794.0,0,0,0,unexposed_legacy,True,False,False
BDL-COS,4,159,253.75,217.59614225204518,4,4,4,4,232,254,0.01607733664185277,1692.0,1,17,0,overlap,True,False,False
BDL-HNL,4,230,302.5,399.4061459075059,4,4,4,4,359,130,0.0,5016.0,0,0,0,overlap,True,False,False
BDL-MEM,4,290,351.75,288.2430146561256,3,4,3,0,287,461,0.0242684188302197,1048.0,0,28,0,overlap,True,False,False
BDL-PDX,4,568,814.0,239.7323213483214,4,4,4,4,862,548,0.018931236199345357,2466.0,0,9,0,overlap,True,False,False
BDL-PHL,4,1038,1393.5,163.75632708048047,0,0,0,4,0,0,0.9921164535965104,196.0,0,0,0,unexposed_legacy,True,False,False
BDL-PHX,4,2628,2887.5,202.51526603759888,4,3,3,4,2275,905,0.32826023430035867,2211.0,172,37,0,overlap,True,False,False
BDL-SAN,4,1522,1765.75,228.21807736359804,4,3,3,4,1846,503,0.025843040905378922,2500.0,71,7,0,overlap,True,False,False
BDL-SAT,4,739,818.25,214.4531624402647,4,4,4,4,663,336,0.028441628563261042,1673.0,8,22,0,overlap,True,False,False
BDL-SEA,4,1009,1578.5,235.12192647012785,4,4,4,4,1743,1248,0.021490075059402876,2428.0,42,8,0,overlap,True,False,False
BDL-SFO,4,1146,1667.75,258.3988875174523,4,4,4,4,1200,573,0.015544501903196057,2622.0,12,0,0,overlap,True,False,False
BDL-SJC,4,510,630.0,233.19997503349128,3,4,3,4,305,289,0.05661603550101153,2606.0,0,0,0,overlap,True,False,False
BDL-SLC,4,660,793.25,253.84609755492886,4,4,4,4,1319,453,0.007349615695407875,2024.0,4,0,0,overlap,True,False,False
BDL-SMF,4,561,658.25,229.35119719179175,4,4,4,4,383,156,0.0631662287996101,2555.0,0,0,0,overlap,True,False,False
BHM-IND,4,244,291.75,249.18213003163487,4,4,4,0,333,357,0.007442459788500845,427.0,0,6,0,overlap,True,False,False
BHM-MCI,4,760,790.25,167.49788496862504,4,4,4,3,374,449,0.4241236537720017,595.0,0,19,0,overlap,True,False,False
BHM-MIA,4,334,377.25,222.76986641209243,4,4,4,0,1011,89,0.050097903568674544,663.0,28,0,0,overlap,True,False,False
BHM-SEA,4,479,715.25,218.71441893223334,4,3,3,4,995,199,0.026064453042230654,2078.0,0,0,0,overlap,True,False,False
BNA-BOI,4,300,327.0,212.42052229559192,3,4,3,0,183,122,0.008099194360523667,1641.0,1,3,0,overlap,True,False,False
BNA-EWR,4,498,1119.25,188.65114522911782,3,3,3,3,235,339,0.29314692000379766,747.0,2,20,0,overlap,True,False,False
BNA-GPT,4,148,162.25,169.9109899808261,3,4,3,0,269,328,0.0,419.0,0,0,0,overlap,True,False,False
BOI-BOS,4,239,296.0,326.6813190820386,3,4,3,4,269,138,0.0,2262.0,0,0,0,overlap,True,False,False
BOI-BWI,4,313,476.0,221.46638190910818,3,4,3,4,232,325,0.019626220241373574,2056.0,0,7,0,overlap,True,False,False
